level,level_name,field_of_study,academic_field
bachelor,bachelor,"b communications public relations, marketing",marketing
bachelor,bachelor,"b sc, chemistry general",chemistry
bachelor,bachelor,"b eng, electrical engineering",electrical engineering
bachelor,bachelor,"b sc, computer science networking techniques and management of information systems",computer science
bachelor,bachelor,"b a 2nd upper class honours, history",history
bachelor,bachelor,"b a hons 2nd upper, english literature",english literature
bachelor,bachelor,"b a, computer science",computer science
bachelor,bachelor,"b e, computer science",computer science
bachelor,bachelor,"b e cs, computer science",computer science
bachelor,bachelor,"b eng, electrical engineering",electrical engineering
bachelor,bachelor,"b s, electrical engineering",electrical engineering
bachelor,bachelor,b s,business administration
bachelor,bachelor,"b s e, computer science in engineering",computer science
bachelor,bachelor,"b sc, computer science",computer science
bachelor,bachelor,"b sc e, electrical engineering",electrical engineering
bachelor,bachelor,"b tech, human resources management personnel administration, general",human resources
bachelor,bachelor hons,"ba hons, arabic and middle east studies",languages and literature
bachelor,bachelor hons,"ba hons, human geography",human geography
bachelor,bachelor hons,"ba hons, media studies",media studies
bachelor,bachelor,"ba, asian studies",asian studies
bachelor,bachelor,"ba, economics",economics
bachelor,bachelor,"ba, economics and commerce",economics
bachelor,bachelor,"ba, economics, political science, psychology",psychology
bachelor,bachelor,"ba, english",languages and literature
bachelor,bachelor,"ba, english and history",languages and literature
bachelor,bachelor,"ba, english and world literature music",languages and literature
bachelor,bachelor,"ba, english language and literature letters",languages and literature
bachelor,bachelor,"ba, english literature journalism and mass media",journalism
bachelor,bachelor,"ba, international relations",international relations
bachelor,bachelor,"ba, political science",political science
bachelor,bachelor,bachelor honours in business management with communications,business management
bachelor,bachelor,"bachelor degree, business management and accountancy",business management
bachelor,bachelor,"bachelor degree graduate diploma, computer science engineering",computer science
bachelor,bachelor,"bachelor in arts and science, specialisation in communications studies, television production minor in political science",performing arts
bachelor,bachelor,"bachelor in business adminstration, business administration",business administration
bachelor,bachelor,"bachelor in business management, operations management analytics and strategic management",business management
bachelor,bachelor,bachelor in communication and media studies,media studies
bachelor,bachelor,bachelor of accountancy and business marketing,accounting
bachelor,bachelor,"bachelor of accountancy with honours, accountancy",accounting
bachelor,bachelor,"bachelor of accountancy, 2nd major in analytics accounting",accounting
bachelor,bachelor,"bachelor of accountancy, accounting",accounting
bachelor,bachelor,"bachelor of accountancy, accounting and finance",accounting
bachelor,bachelor,"bachelor of applied engineering, civil engineering",civil engineering
