,level,level_name,field_of_study,academic_field,academic_field_imputed
0,,,"marketing marketing management, general",marketing,marketing
1,,,wellness counseling certificate,,<NA>
2,,,"ba hons fashion, fashion apparel design",,None
3,,,"ba liberal arts, liberal arts and sciences liberal studies",,<NA>
4,,,career certificate of marketing,,<NA>
5,,,"1st class honour, information system and computing",,<NA>
6,,,"2 1, business management",business management,business management
7,,,"2 1, french and hispanic studies",,<NA>
8,,,"2 1, graphic design and illustration",,<NA>
9,,,"2 1, management",,<NA>
10,,,"2nd lower honours, management",,<NA>
11,,,a level,,<NA>
12,,,"academic qualification, computer science and business administration",computer science,computer science
13,,,"acca, accounting",accounting,accounting
14,,,"accelerated development program, general management leadership",,<NA>
15,,,accountancy and finance,accounting,accounting
16,,,accounting,accounting,accounting
17,,,accounting and finance,accounting,accounting
18,,,accounting and business management,accounting,accounting
19,,,accounting and finance,accounting,accounting
20,,,"accounting and management bsc hons, business and management",accounting,accounting
21,,,"accredited editor ae, professionally qualified editor",,<NA>
22,,,"acma, management accounting",,<NA>
23,,,"acma, management accounting",accounting,accounting
24,diploma,,"advance diploma in accounting and business, accounting and business management",accounting,accounting
25,diploma,,"advance diploma in computer study, management information systems, general",,<NA>
26,diploma,,"advance diploma of multimedia design, multimedia design",,<NA>
27,,,"advance management program, leadership",,<NA>
28,,,"advanced certificate, practical counselling",,<NA>
29,,,"advanced certification program in cyber security iit kanpur, cyber security",,<NA>
30,,,"advanced degree in political science, international politics",,<NA>
31,diploma,,advanced diploma of aviation,,<NA>
32,diploma,,"advanced diploma of electrical engineering, power distribution",electrical engineering,electrical engineering
33,diploma,,"advanced diploma, business administration and management",business management,business management
34,diploma,,"advanced diploma, business management",business management,business management
35,diploma,,"advanced diploma, electrical, electronic and communications engineering technology technician",,<NA>
36,diploma,,"advanced diploma, information systems",,<NA>
37,diploma,,"advanced diploma, visual communications graphic design",,<NA>
38,,,"advanced international certificate in aml, money laundering",,<NA>
39,,,"advanced management program amp 199, advanced management and leadership",,<NA>
40,,,"advanced management program, management",,<NA>
41,,,"advanced master s degree, strategy and management of international affairs",,<NA>
42,,,advancing next gen leaders program,,<NA>
43,,,"aerospace, aeronautical and astronautical space engineering",,<NA>
44,,,"agile coaching, scrum",,<NA>
45,,,agricultural engineering,,<NA>
46,,,altmba37,,<NA>
47,,,applied mathematics,applied mathematics,applied mathematics
48,,,architechture,architecture and design,architecture and design
49,,,architecture,architecture and design,architecture and design
50,,,"artificial intelligence, marketing marketing management, general",,<NA>
51,,,"artificial intelligence business strategies and applications, executive certification",,<NA>
52,,,artificial intelligence implications for business strategy program,,<NA>
53,,,"arts and festival management, arts and festival management",,<NA>
54,,,"as, paralegal",,<NA>
55,,,asset management,,<NA>
56,,,associate member at cpa australia,,<NA>
57,,,"associate of science as, journalism",,<NA>
58,,,"associate s degree, business, management, marketing, and related support services",,<NA>
59,,,"associate s degree, room division",,<NA>
60,,,"associate s degree, tourism and marketing",,<NA>
61,,,"assoicate estate planning practitioner, estate planning",,<NA>
62,,,aw 27,,<NA>
63,bachelor,bachelor,"b app sc ce, computer engineering",,<NA>
64,bachelor,bachelor,"b communications public relations, marketing",marketing,marketing
65,bachelor,bachelor,"b sc, chemistry general",chemistry,chemistry
66,bachelor,bachelor,"b soc sci, communications and new media",,<NA>
67,bachelor,bachelor,"b tech, telecommunication",,<NA>
68,bachelor,bachelor,"b, hotelmanagement, business administration",,<NA>
69,bachelor,bachelor,"b eng, electrical engineering",electrical engineering,electrical engineering
70,bachelor,bachelor,"b sc, computer science networking techniques and management of information systems",computer science,computer science
71,bachelor,bachelor,"b sc hbp architecture, architecture",,<NA>
72,bachelor,bachelor,"b a 2nd upper class honours, history",history,history
73,bachelor,bachelor,"b a hons m eng, electrical and electronic engineering",,<NA>
74,bachelor,bachelor,"b a honours, business administration with major in economics and international finance",,<NA>
75,bachelor,bachelor,"b a hons 2nd upper, english literature",english literature,english literature
76,bachelor,bachelor,"b a hons in english language and literature, english language and literature, general",,<NA>
77,bachelor,bachelor,"b a journalism and mass communications, journalism and mass communications",,<NA>
78,bachelor,bachelor,"b a, business economics",,<NA>
79,bachelor,bachelor,"b a, computer science",computer science,computer science
80,bachelor,bachelor,"b a, foreign trade",,<NA>
81,bachelor,bachelor,"b a, japanese",,<NA>
82,bachelor,bachelor,"b a, psychology, journalism",,<NA>
83,bachelor,bachelor,b a policy management,,<NA>
84,bachelor,bachelor,"b bus, business information systems",,<NA>
85,bachelor,bachelor,"b com, banking and finance",,<NA>
86,bachelor,bachelor,"b comp, information systems",,<NA>
87,bachelor,bachelor,"b e, computer science",computer science,computer science
88,bachelor,bachelor,"b e, computer technology",,<NA>
89,bachelor,bachelor,"b e cs, computer science",computer science,computer science
90,bachelor,bachelor,"b e, electronics",,<NA>
91,bachelor,bachelor,"b eng hons, electrical and electronic engineering",,<NA>
92,bachelor,bachelor,"b eng, computer engineering with a minor in business",,<NA>
93,bachelor,bachelor,"b eng, electrical engineering",electrical engineering,electrical engineering
94,bachelor,bachelor,"b s, electrical engineering",electrical engineering,electrical engineering
95,bachelor,bachelor,"b s, finance and financial management services",,<NA>
96,bachelor,bachelor,b s,business administration,business administration
97,bachelor,bachelor,"b s and mba, economics and organizational leadership",,<NA>
98,bachelor,bachelor,"b s business administration, leed s school of business",,<NA>
99,bachelor,bachelor,"b s marketing, statistics, business administration",,<NA>
100,bachelor,bachelor,"b s, management",,<NA>
101,bachelor,bachelor,"b s e, computer science in engineering",computer science,computer science
102,bachelor,bachelor,"b sc real estate, real estate",,<NA>
103,bachelor,bachelor,"b sc, biochemistry with biotechnology and molecular genetics",,<NA>
104,bachelor,bachelor,"b sc, mechanical engineering, industrial operational management and business administration",,<NA>
105,bachelor,bachelor,"b sc statistics, economics, math s, english and french",,<NA>
106,bachelor,bachelor hons,b sc hons of food science and technology,,<NA>
107,bachelor,bachelor hons,"b sc hons, international hospitality management",,<NA>
108,bachelor,bachelor hons,"b sc hons, international management",,<NA>
109,bachelor,bachelor,"b sc, computer science",computer science,computer science
110,bachelor,bachelor,"b sc e, electrical engineering",electrical engineering,electrical engineering
111,bachelor,bachelor,"b tech, engineering",,<NA>
112,bachelor,bachelor,"b tech, human resources management personnel administration, general",human resources,human resources
113,bachelor,bachelor,ba,,<NA>
114,bachelor,bachelor hons,"ba hons, graphic design",,<NA>
115,bachelor,bachelor hons,"ba hons accounting and finance, accounting and finance",,<NA>
116,bachelor,bachelor hons,"ba hons fashion pattern cutting, fashion apparel design",,<NA>
117,bachelor,bachelor hons,ba hons history,,<NA>
118,bachelor,bachelor hons,"ba hons of business and human resource management, hrm",,<NA>
119,bachelor,bachelor hons,"ba hons, arabic and middle east studies",languages and literature,languages and literature
120,bachelor,bachelor hons,"ba hons, business studies",,<NA>
121,bachelor,bachelor hons,"ba hons, business, major in marketing",,<NA>
122,bachelor,bachelor hons,"ba hons, communication and media",,<NA>
123,bachelor,bachelor hons,"ba hons, european business",,<NA>
124,bachelor,bachelor hons,"ba hons, first class",,<NA>
125,bachelor,bachelor hons,"ba hons, graphic communication",,<NA>
126,bachelor,bachelor hons,"ba hons, human geography",human geography,human geography
127,bachelor,bachelor hons,"ba hons, media studies",media studies,media studies
128,bachelor,bachelor hons,"ba hons, politics and law",,<NA>
129,bachelor,bachelor hons,"ba hons, psychology with health studies",,<NA>
130,bachelor,bachelor hons,"ba business organisation hons, business administration and management, general",,<NA>
131,bachelor,bachelor,"ba european languages, spanish language and literature",,<NA>
